"","date","state","positive","probableCases","negative","totalTestResults","positiveIncrease","totalTestResultsIncrease","death"
"1",2020-12-11,"AK",38584,NA,1084961,1123545,622,10185,158
"2",2020-12-11,"AL",288775,50896,1458560,1696439,3853,12077,4086
"3",2020-12-11,"AR",181624,25613,1672168,1828179,2770,15181,2875
"4",2020-12-11,"AS",0,NA,2140,2140,0,0,0
"5",2020-12-11,"AZ",394512,14561,2080870,4187860,6983,51785,7245
"6",2020-12-11,"CA",1485703,NA,25086640,26572343,35468,248011,20622
"7",2020-12-11,"CO",281673,11710,1659026,3691463,4678,48945,3846
"8",2020-12-11,"CT",146761,8970,3548330,3695091,3782,54546,5363
"9",2020-12-11,"DC",24357,NA,738389,762746,259,4913,709
"10",2020-12-11,"DE",43818,1666,412561,819158,782,8820,807
"11",2020-12-11,"FL",1087956,112166,6698956,13621566,11409,131102,19977
"12",2020-12-11,"GA",466904,NA,4190295,4657199,4729,35358,10031
"13",2020-12-11,"GU",7079,137,83030,90109,27,415,115
"14",2020-12-11,"HI",19315,364,295153,726436,136,4781,269
"15",2020-12-11,"IA",219914,NA,895893,1115807,1537,3867,3197
"16",2020-12-11,"ID",118028,19143,400217,499102,1825,3364,1136
"17",2020-12-11,"IL",832951,6259,10753345,11586296,9420,104448,15067
"18",2020-12-11,"IN",412135,NA,1975365,4818990,7200,56097,6673
"19",2020-12-11,"KS",185294,NA,705423,890717,5491,14665,2072
"20",2020-12-11,"KY",217120,39073,2678380,2856427,3670,16205,2168
"21",2020-12-11,"LA",264191,18565,3475081,3739272,2862,34407,6767
"22",2020-12-11,"MA",280436,10507,3336332,9377600,5655,99181,11257
"23",2020-12-11,"MD",228471,NA,2298689,4904152,2616,48197,5064
"24",2020-12-11,"ME",15206,1874,956790,971996,345,10436,250
"25",2020-12-11,"MI",460346,34052,6825002,7285348,5626,58349,10965
"26",2020-12-11,"MN",370968,9692,2365194,4645205,3750,53097,4292
"27",2020-12-11,"MO",338604,NA,1569607,3292575,3900,22893,4481
"28",2020-12-11,"MP",113,NA,17206,17319,0,0,2
"29",2020-12-11,"MS",175282,43358,1026300,1201582,2327,2327,4124
"30",2020-12-11,"MT",71870,NA,639864,711734,978,9209,805
"31",2020-12-11,"NC",423623,28881,5455499,5879122,7540,100664,5752
"32",2020-12-11,"ND",87214,2007,276757,1157011,507,8005,1136
"33",2020-12-11,"NE",145774,NA,643319,1524345,1850,19052,1329
"34",2020-12-11,"NH",29460,NA,428975,898485,1187,9556,590
"35",2020-12-11,"NJ",390256,NA,6196756,6587012,3650,49257,17662
"36",2020-12-11,"NM",116565,NA,1590475,1707040,1834,14364,1889
"37",2020-12-11,"NV",181310,NA,867542,1795433,2783,7571,2479
"38",2020-12-11,"NY",753837,NA,20760281,21514118,10595,212672,27587
"39",2020-12-11,"OH",542209,44644,6230098,6772307,10359,65593,7426
"40",2020-12-11,"OK",229353,NA,2091366,2320719,3900,23098,2007
"41",2020-12-11,"OR",91420,3531,2151351,2242771,1582,26244,1138
"42",2020-12-11,"PA",470034,38011,3009510,3479544,12745,28748,12235
"43",2020-12-11,"PR",61002,2373,305972,366974,1544,1544,1249
"44",2020-12-11,"RI",70818,NA,502871,1717567,1571,22765,1509
"45",2020-12-11,"SC",245226,16965,2406530,2651756,3540,37520,4673
"46",2020-12-11,"SD",89672,7066,258697,348369,945,2169,1210
"47",2020-12-11,"TN",436262,38819,4460491,4896753,7289,54839,5327
"48",2020-12-11,"TX",1307878,NA,10525262,11833140,11746,111329,23551
"49",2020-12-11,"UT",228129,NA,1207924,1991789,2183,14986,1025
"50",2020-12-11,"VA",274438,36157,3396211,3634492,3395,33751,4370
"51",2020-12-11,"VI",1733,NA,28747,30480,0,0,23
"52",2020-12-11,"VT",5541,142,235076,608412,128,6783,93
"53",2020-12-11,"WA",192413,NA,3064425,3256838,2550,31410,2850
"54",2020-12-11,"WI",461367,31410,2231765,4777544,4478,31888,4266
"55",2020-12-11,"WV",60637,9833,1232603,1293240,942,18232,938
"56",2020-12-11,"WY",38785,5126,149536,437060,562,0,321
"57",2020-12-10,"AK",37962,NA,1075398,1113360,620,13805,155
"58",2020-12-10,"AL",284922,49930,1449370,1684362,4735,11198,4034
"59",2020-12-10,"AR",178854,24781,1658925,1812998,2202,12964,2820
"60",2020-12-10,"AS",0,NA,2140,2140,0,0,0
"61",2020-12-10,"AZ",387529,14102,2064282,4136075,4928,44258,7154
"62",2020-12-10,"CA",1450235,NA,24874097,26324332,29677,282261,20463
"63",2020-12-10,"CO",276995,11492,1649300,3642518,4649,50721,3759
"64",2020-12-10,"CT",142979,8693,3497566,3640545,2431,36690,5327
"65",2020-12-10,"DC",24098,NA,733735,757833,244,5326,708
"66",2020-12-10,"DE",43036,1644,410401,810338,643,8158,806
"67",2020-12-10,"FL",1076547,112166,6655188,13490464,11071,127033,19851
"68",2020-12-10,"GA",462175,NA,4159666,4621841,6062,43717,9975
"69",2020-12-10,"GU",7052,137,82642,89694,13,499,115
"70",2020-12-10,"HI",19179,315,295153,721655,123,6987,268
"71",2020-12-10,"IA",218377,NA,893563,1111940,1683,4453,3120
"72",2020-12-10,"ID",116203,18753,398288,495738,2298,3473,1103
"73",2020-12-10,"IL",823531,6259,10658317,11481848,11101,114503,14845
"74",2020-12-10,"IN",404935,NA,1964246,4762893,6518,55927,6603
"75",2020-12-10,"KS",179803,NA,696249,876052,0,0,1941
"76",2020-12-10,"KY",213450,38179,2664951,2840222,4314,47901,2146
"77",2020-12-10,"LA",261329,17894,3443536,3704865,2415,24957,6724
"78",2020-12-10,"MA",274781,10327,3315387,9278419,5369,97353,11209
"79",2020-12-10,"MD",225855,NA,2284351,4855955,3202,49110,5012
"80",2020-12-10,"ME",14861,1828,946699,961560,407,10347,246
"81",2020-12-10,"MI",454720,33583,6772279,7226999,6302,60090,10900
"82",2020-12-10,"MN",367218,9409,2350622,4592108,3499,38303,4198
"83",2020-12-10,"MO",334704,NA,1564049,3269682,3858,25284,4450
"84",2020-12-10,"MP",113,NA,17206,17319,0,0,2
"85",2020-12-10,"MS",172955,42151,1026300,1199255,2283,2283,4083
"86",2020-12-10,"MT",70892,NA,631633,702525,759,3057,781
"87",2020-12-10,"NC",416083,27977,5362375,5778458,5556,19564,5714
"88",2020-12-10,"ND",86707,1972,276030,1149006,558,8311,1109
"89",2020-12-10,"NE",143924,NA,639773,1505293,1321,13854,1294
"90",2020-12-10,"NH",28273,NA,425614,888929,681,7985,584
"91",2020-12-10,"NJ",386606,NA,6151149,6537755,5120,49230,17608
"92",2020-12-10,"NM",114731,NA,1577945,1692676,1781,21416,1846
"93",2020-12-10,"NV",178527,NA,867319,1787862,2193,14461,2434
"94",2020-12-10,"NY",743242,NA,20558204,21301446,10178,197406,27498
"95",2020-12-10,"OH",531850,42772,6174864,6706714,11738,63006,7298
"96",2020-12-10,"OK",225453,NA,2072168,2297621,2460,18710,1980
"97",2020-12-10,"OR",89838,3531,2126689,2216527,1551,22705,1123
"98",2020-12-10,"PA",457289,35250,2993507,3450796,11972,32885,12010
"99",2020-12-10,"PR",59458,2362,305972,365430,496,496,1238
"100",2020-12-10,"RI",69247,NA,498957,1694802,948,13473,1498
"101",2020-12-10,"SC",241686,16633,2372550,2614236,2242,17455,4627
"102",2020-12-10,"SD",88727,6892,257473,346200,704,1728,1177
"103",2020-12-10,"TN",428973,37840,4412941,4841914,6011,31676,5240
"104",2020-12-10,"TX",1296132,NA,10425679,11721811,12458,100630,23325
"105",2020-12-10,"UT",225946,NA,1202027,1976803,3401,16912,1016
"106",2020-12-10,"VA",271043,35323,3365021,3600741,3915,27442,4335
"107",2020-12-10,"VI",1733,NA,28747,30480,35,276,23
"108",2020-12-10,"VT",5413,143,233240,601629,128,7978,89
"109",2020-12-10,"WA",189863,NA,3035565,3225428,2536,28378,3016
"110",2020-12-10,"WI",456889,30790,2224578,4745656,4709,37247,4209
"111",2020-12-10,"WV",59695,9679,1215313,1275008,1233,15177,921
"112",2020-12-10,"WY",38223,5020,148662,437060,338,5627,299
"113",2020-12-09,"AK",37342,NA,1062213,1099555,584,10577,150
"114",2020-12-09,"AL",280187,48648,1441625,1673164,3522,9074,3985
"115",2020-12-09,"AR",176652,24283,1647665,1800034,2327,16536,2786
"116",2020-12-09,"AS",0,NA,2140,2140,0,0,0
"117",2020-12-09,"AZ",382601,13452,2050231,4091817,4444,26478,7081
"118",2020-12-09,"CA",1420558,NA,24621513,26042071,30851,252296,20243
"119",2020-12-09,"CO",272346,11336,1638560,3591797,3757,40346,3639
"120",2020-12-09,"CT",140548,8662,3463307,3603855,2290,30320,5285
"121",2020-12-09,"DC",23854,NA,728653,752507,265,6876,704
"122",2020-12-09,"DE",42393,1610,408393,802180,929,5841,803
"123",2020-12-09,"FL",1065476,108459,6606421,13363431,9411,97815,19716
"124",2020-12-09,"GA",456113,NA,4122011,4578124,3744,22681,9921
"125",2020-12-09,"GU",7039,137,82156,89195,13,581,113
"126",2020-12-09,"HI",19056,315,295153,714668,80,3852,266
"127",2020-12-09,"IA",216694,NA,890793,1107487,1797,4750,3021
"128",2020-12-09,"ID",113905,18362,396722,492265,2012,-2649,1074
"129",2020-12-09,"IL",812430,6259,10554915,11367345,8256,92737,14613
"130",2020-12-09,"IN",398417,NA,1954437,4706966,5754,50139,6506
"131",2020-12-09,"KS",179803,NA,696249,876052,5778,14728,1941
"132",2020-12-09,"KY",209136,37061,2620246,2792321,3468,5942,2118
"133",2020-12-09,"LA",258914,17566,3420994,3679908,4352,32522,6684
"134",2020-12-09,"MA",269412,10088,3297033,9181066,5965,109009,11166
"135",2020-12-09,"MD",222653,NA,2267585,4806845,2692,36013,4962
"136",2020-12-09,"ME",14454,1776,936759,951213,405,8646,246
"137",2020-12-09,"MI",448418,33218,6718491,7166909,5342,47656,10706
"138",2020-12-09,"MN",363719,9129,2340425,4553805,4516,34754,4109
"139",2020-12-09,"MO",330846,NA,1556688,3244398,2640,14268,4383
"140",2020-12-09,"MP",113,NA,17206,17319,2,198,2
"141",2020-12-09,"MS",170672,40836,1026300,1196972,2746,2746,4041
"142",2020-12-09,"MT",70133,NA,629335,699468,787,2590,771
"143",2020-12-09,"NC",410527,27119,5348367,5758894,6495,53994,5661
"144",2020-12-09,"ND",86149,1922,275209,1140695,473,4210,1086
"145",2020-12-09,"NE",142603,NA,637870,1491439,1476,17098,1277
"146",2020-12-09,"NH",27592,NA,422401,880944,969,7654,570
"147",2020-12-09,"NJ",381486,NA,6107039,6488525,4431,139179,17542
"148",2020-12-09,"NM",112950,NA,1558310,1671260,1748,1748,1823
"149",2020-12-09,"NV",176334,NA,863608,1773401,3053,14295,2384
"150",2020-12-09,"NY",733064,NA,20370976,21104040,10600,194595,27404
"151",2020-12-09,"OH",520112,41233,6123596,6643708,10094,50304,7187
"152",2020-12-09,"OK",222993,NA,2055918,2278911,2307,19252,1945
"153",2020-12-09,"OR",88287,3531,2105535,2193822,1205,18662,1110
"154",2020-12-09,"PA",445317,34344,2972594,3417911,8703,21573,11762
"155",2020-12-09,"PR",58962,2288,305972,364934,646,646,1219
"156",2020-12-09,"RI",68299,NA,497730,1681329,1232,18041,1484
"157",2020-12-09,"SC",239444,16304,2357337,2596781,2490,15453,4612
"158",2020-12-09,"SD",88023,6743,256449,344472,985,2049,1147
"159",2020-12-09,"TN",422962,37014,4387276,4810238,8213,45027,5171
"160",2020-12-09,"TX",1283674,NA,10337507,11621181,11170,92586,23081
"161",2020-12-09,"UT",222545,NA,1195348,1959891,2574,15406,995
"162",2020-12-09,"VA",267128,34188,3340359,3573299,4398,27430,4281
"163",2020-12-09,"VI",1698,NA,28506,30204,18,363,23
"164",2020-12-09,"VT",5285,142,231343,593651,105,5018,86
"165",2020-12-09,"WA",187327,NA,3009723,3197050,2923,32336,2967
"166",2020-12-09,"WI",452180,30115,2216057,4708409,4171,31660,4142
"167",2020-12-09,"WV",58462,9463,1201369,1259831,1402,13897,901
"168",2020-12-09,"WY",37885,4996,147534,431433,410,2269,299
"169",2020-12-08,"AK",36758,NA,1052220,1088978,562,6838,146
"170",2020-12-08,"AL",276665,47658,1435083,1664090,4436,12517,3942
"171",2020-12-08,"AR",174325,23713,1632886,1783498,2283,10425,2752
"172",2020-12-08,"AS",0,NA,2140,2140,0,0,0
"173",2020-12-08,"AZ",378157,13019,2042903,4065339,12314,43,6973
"174",2020-12-08,"CA",1389707,NA,24400068,25789775,23272,296424,20047
"175",2020-12-08,"CO",268589,11307,1630728,3551451,3971,35448,3372
"176",2020-12-08,"CT",138258,8629,3435277,3573535,2414,28114,5242
"177",2020-12-08,"DC",23589,NA,722042,745631,270,6547,701
"178",2020-12-08,"DE",41464,1593,405974,796339,753,8081,803
"179",2020-12-08,"FL",1056065,105731,6568361,13265616,7801,89756,19627
"180",2020-12-08,"GA",452369,NA,4103074,4555443,3686,34383,9873
"181",2020-12-08,"GU",7026,136,81588,88614,7,177,113
"182",2020-12-08,"HI",18976,315,295153,710816,53,2650,262
"183",2020-12-08,"IA",214897,NA,887840,1102737,830,2084,2919
"184",2020-12-08,"ID",111893,17937,400958,494914,1383,2189,1055
"185",2020-12-08,"IL",804174,6259,10470434,11274608,7910,95825,14384
"186",2020-12-08,"IN",392663,NA,1945645,4656827,5385,42287,6410
"187",2020-12-08,"KS",174025,NA,687299,861324,0,0,1856
"188",2020-12-08,"KY",205668,36099,2616810,2786379,3076,14602,2102
"189",2020-12-08,"LA",254562,15886,3392824,3647386,2426,28562,6652
"190",2020-12-08,"MA",263447,9798,3276717,9072057,4122,58501,11076
"191",2020-12-08,"MD",219961,NA,2254514,4770832,2632,40400,4916
"192",2020-12-08,"ME",14049,1716,928518,942567,274,5943,239
"193",2020-12-08,"MI",443076,32781,6676177,7119253,6676,60533,10625
"194",2020-12-08,"MN",359203,8790,2328808,4519051,3051,24557,4027
"195",2020-12-08,"MO",328206,NA,1553295,3230130,3250,18701,4355
"196",2020-12-08,"MP",111,NA,17010,17121,2,2,2
"197",2020-12-08,"MS",167926,39291,1026300,1194226,1732,1732,4017
"198",2020-12-08,"MT",69346,NA,627532,696878,755,4115,763
"199",2020-12-08,"NC",404032,26106,5300868,5704900,4670,49085,5605
"200",2020-12-08,"ND",85676,1864,274937,1136485,582,0,1064
"201",2020-12-08,"NE",141127,NA,635366,1474341,1293,9500,1236
"202",2020-12-08,"NH",26623,NA,420066,873290,807,6007,566
"203",2020-12-08,"NJ",377055,NA,5972291,6349346,5476,58970,17426
"204",2020-12-08,"NM",111202,NA,1558310,1669512,1255,9237,1789
"205",2020-12-08,"NV",173281,NA,859849,1759106,2694,11990,2359
"206",2020-12-08,"NY",722464,NA,20186981,20909445,9335,162464,27307
"207",2020-12-08,"OH",510018,39297,6083386,6593404,25721,66076,7103
"208",2020-12-08,"OK",220686,NA,2038973,2259659,2297,32441,1922
"209",2020-12-08,"OR",87082,3531,2088078,2175160,1294,21499,1080
"210",2020-12-08,"PA",436614,33316,2959724,3396338,10170,26611,11542
"211",2020-12-08,"PR",58316,2074,305972,364288,694,694,1206
"212",2020-12-08,"RI",67067,NA,493819,1663288,1249,11667,1470
"213",2020-12-08,"SC",236954,15993,2344374,2581328,2302,26462,4585
"214",2020-12-08,"SD",87038,6539,255385,342423,538,1228,1111
"215",2020-12-08,"TN",414749,36093,4350462,4765211,6019,31559,5109
"216",2020-12-08,"TX",1272504,NA,10256091,11528595,14290,73249,22808
"217",2020-12-08,"UT",219971,NA,1189392,1944485,2333,10931,972
"218",2020-12-08,"VA",262730,33177,3316316,3545869,3860,23817,4260
"219",2020-12-08,"VI",1680,NA,28161,29841,31,178,23
"220",2020-12-08,"VT",5180,138,230294,588633,100,2324,85
"221",2020-12-08,"WA",184404,NA,2980310,3164714,6957,21714,2941
"222",2020-12-08,"WI",448009,29563,2207950,4676749,4620,25694,4054
"223",2020-12-08,"WV",57060,9084,1188874,1245934,932,10351,870
"224",2020-12-08,"WY",37475,4920,147139,429164,490,3248,280
"225",2020-12-07,"AK",36196,NA,1045944,1082140,476,4364,146
"226",2020-12-07,"AL",272229,46440,1425784,1651573,2352,6532,3892
"227",2020-12-07,"AR",172042,22867,1623898,1773073,1118,9923,2713
"228",2020-12-07,"AS",0,NA,2140,2140,0,0,0
"229",2020-12-07,"AZ",365843,12708,2035704,4065296,1567,4081,6950
"230",2020-12-07,"CA",1366435,NA,24126916,25493351,24735,298305,19935
"231",2020-12-07,"CO",264618,11129,1620299,3516003,4037,37843,3358
"232",2020-12-07,"CT",135844,8433,3409577,3545421,8129,123323,5224
"233",2020-12-07,"DC",23319,NA,715765,739084,183,4451,701
"234",2020-12-07,"DE",40711,1551,403817,788258,799,9960,793
"235",2020-12-07,"FL",1048264,102815,6536189,13175860,7537,92339,19529
"236",2020-12-07,"GA",448683,NA,4072377,4521060,4861,45008,9851
"237",2020-12-07,"GU",7019,136,81418,88437,15,1862,113
"238",2020-12-07,"HI",18923,315,295153,708166,81,6390,262
"239",2020-12-07,"IA",214067,NA,886586,1100653,677,2064,2718
"240",2020-12-07,"ID",110510,17496,399711,492725,805,2338,1035
"241",2020-12-07,"IL",796264,6259,10382519,11178783,8691,77569,14216
"242",2020-12-07,"IN",387278,NA,1936691,4614540,5661,37329,6284
"243",2020-12-07,"KS",174025,NA,687299,861324,5730,16138,1856
"244",2020-12-07,"KY",202592,35215,2604400,2771777,1960,39772,2082
"245",2020-12-07,"LA",252136,15257,3366688,3618824,1013,10741,6607
"246",2020-12-07,"MA",259325,9303,3261771,9013556,2481,43304,11035
"247",2020-12-07,"MD",217329,NA,2240700,4730432,2302,44956,4865
"248",2020-12-07,"ME",13775,1678,922849,936624,427,22444,227
"249",2020-12-07,"MI",436400,32014,6622320,7058720,9824,93662,10422
"250",2020-12-07,"MN",356152,8618,2321587,4494494,5290,62817,4005
"251",2020-12-07,"MO",324956,NA,1549054,3211429,2658,15244,4194
"252",2020-12-07,"MP",109,NA,17010,17119,3,3,2
"253",2020-12-07,"MS",166194,38278,1026300,1192494,1263,45168,3961
"254",2020-12-07,"MT",68591,NA,624172,692763,716,4549,742
"255",2020-12-07,"NC",399362,25678,5256453,5655815,4372,44539,5560
"256",2020-12-07,"ND",85094,1797,274937,1136485,387,4460,1028
"257",2020-12-07,"NE",139834,NA,633837,1464841,1266,8473,1205
"258",2020-12-07,"NH",25816,NA,418074,867283,1045,5810,566
"259",2020-12-07,"NJ",371579,NA,5918797,6290376,3563,3563,17336
"260",2020-12-07,"NM",109947,NA,1550328,1660275,1859,12299,1756
"261",2020-12-07,"NV",170587,NA,857644,1747116,2448,13853,2319
"262",2020-12-07,"NY",713129,NA,20033852,20746981,7302,152287,27232
"263",2020-12-07,"OH",484297,25304,6043031,6527328,9273,51618,7022
"264",2020-12-07,"OK",218389,NA,2008829,2227218,1903,1903,1911
"265",2020-12-07,"OR",85788,3531,2067873,2153661,1292,15330,1045
"266",2020-12-07,"PA",426444,31989,2943283,3369727,6330,20577,11373
"267",2020-12-07,"PR",57622,1942,305972,363594,951,951,1203
"268",2020-12-07,"RI",65818,NA,491142,1651621,844,7856,1448
"269",2020-12-07,"SC",234652,15832,2320214,2554866,2553,26675,4579
"270",2020-12-07,"SD",86500,6506,254695,341195,509,1200,1110
"271",2020-12-07,"TN",408730,35193,4324922,4733652,8136,43130,5009
"272",2020-12-07,"TX",1258214,NA,10197132,11455346,8891,94370,22627
"273",2020-12-07,"UT",217638,NA,1185465,1933554,2231,11318,949
"274",2020-12-07,"VA",258870,32444,3295626,3522052,3817,29851,4208
"275",2020-12-07,"VI",1649,NA,28014,29663,16,370,23
"276",2020-12-07,"VT",5080,136,230221,586309,65,2507,81
"277",2020-12-07,"WA",177447,NA,2965553,3143000,1654,9155,2925
"278",2020-12-07,"WI",443389,29057,2202473,4651055,2322,27828,3973
"279",2020-12-07,"WV",56128,8886,1179455,1235583,1131,12220,841
"280",2020-12-07,"WY",36985,4789,146266,425916,668,8289,280
"281",2020-12-06,"AK",35720,NA,1042056,1077776,757,10545,143
"282",2020-12-06,"AL",269877,45962,1421126,1645041,2288,7880,3889
"283",2020-12-06,"AR",170924,22753,1614979,1763150,1542,14704,2660
"284",2020-12-06,"AS",0,NA,2140,2140,0,0,0
"285",2020-12-06,"AZ",364276,12590,2018813,4061215,5376,15440,6950
"286",2020-12-06,"CA",1341700,NA,23853346,25195046,30075,293071,19876
"287",2020-12-06,"CO",260581,11069,1608829,3478160,3234,36046,3356
"288",2020-12-06,"CT",127715,8131,3294383,3422098,0,0,5146
"289",2020-12-06,"DC",23136,NA,711497,734633,264,7246,697
"290",2020-12-06,"DE",39912,1550,400854,778298,816,8480,793
"291",2020-12-06,"FL",1040727,100964,6505237,13083521,8175,96582,19423
"292",2020-12-06,"GA",443822,NA,4032230,4476052,1805,9852,9806
"293",2020-12-06,"GU",7004,132,79571,86575,27,27,113
"294",2020-12-06,"HI",18842,315,295153,701776,104,6599,262
"295",2020-12-06,"IA",213390,NA,885199,1098589,1499,4087,2683
"296",2020-12-06,"ID",109705,17345,398027,490387,1339,2927,1032
"297",2020-12-06,"IL",787573,6259,10313641,11101214,7598,79538,14116
"298",2020-12-06,"IN",381617,NA,1928262,4577211,6598,51451,6242
"299",2020-12-06,"KS",168295,NA,676891,845186,0,0,1786
"300",2020-12-06,"KY",200632,34939,2568543,2732005,2567,0,2072
"301",2020-12-06,"LA",251123,15254,3356960,3608083,3946,41549,6584
"302",2020-12-06,"MA",256844,9285,3250728,8970252,4827,89439,11004
"303",2020-12-06,"MD",215027,NA,2225595,4685476,2643,48348,4846
"304",2020-12-06,"ME",13348,1547,900832,914180,221,221,227
"305",2020-12-06,"MI",426576,31540,6538482,6965058,0,0,10321
"306",2020-12-06,"MN",350862,8459,2301135,4431677,5581,61042,3984
"307",2020-12-06,"MO",322298,NA,1544226,3196185,3876,22196,4192
"308",2020-12-06,"MP",106,NA,17010,17116,0,0,2
"309",2020-12-06,"MS",164931,37611,982395,1147326,1473,1473,3961
"310",2020-12-06,"MT",67875,NA,620339,688214,806,5631,736
"311",2020-12-06,"NC",394990,25452,5216286,5611276,6438,64662,5543
"312",2020-12-06,"ND",84707,1774,274492,1132025,488,6904,1019
"313",2020-12-06,"NE",138568,NA,631739,1456368,2243,20591,1194
"314",2020-12-06,"NH",24771,NA,415976,861473,633,7388,564
"315",2020-12-06,"NJ",368016,NA,5918797,6286813,6030,6030,17321
"316",2020-12-06,"NM",108088,NA,1539888,1647976,1232,13059,1749
"317",2020-12-06,"NV",168139,NA,853647,1733263,2511,14716,2315
"318",2020-12-06,"NY",705827,NA,19888867,20594694,9702,205832,27149
"319",2020-12-06,"OH",475024,25057,6000686,6475710,7592,59045,6959
"320",2020-12-06,"OK",216486,NA,2008829,2225315,3241,3241,1896
"321",2020-12-06,"OR",84496,3531,2005617,2138331,1253,18821,1033
"322",2020-12-06,"PA",420114,31678,2929036,3349150,8630,26026,11331
"323",2020-12-06,"PR",56671,1925,305972,362643,1139,1139,1192
"324",2020-12-06,"RI",64974,NA,488973,1643765,1030,13774,1437
"325",2020-12-06,"SC",232099,15721,2296092,2528191,2864,24270,4566
"326",2020-12-06,"SD",85991,6456,254004,339995,687,1626,1110
"327",2020-12-06,"TN",400594,34261,4289928,4690522,3072,15466,4943
"328",2020-12-06,"TX",1249323,NA,10111653,11360976,8573,118223,22594
"329",2020-12-06,"UT",215407,NA,1180321,1922236,2563,14448,939
"330",2020-12-06,"VA",255053,31674,3268822,3492201,3880,55853,4200
"331",2020-12-06,"VI",1633,NA,27660,29293,0,0,23
"332",2020-12-06,"VT",5015,131,228865,583802,121,5793,79
"333",2020-12-06,"WA",175793,NA,2958052,3133845,1503,13699,2925
"334",2020-12-06,"WI",441067,28890,2196722,4623227,3149,27704,3952
"335",2020-12-06,"WV",54997,8671,1168366,1223363,1425,8044,838
"336",2020-12-06,"WY",36317,4756,144576,417627,376,0,257
"337",2020-12-05,"AK",34963,NA,1032268,1067231,922,16862,143
"338",2020-12-05,"AL",267589,45785,1415357,1637161,3390,10793,3877
"339",2020-12-05,"AR",169382,22671,1601735,1748446,2245,13760,2620
"340",2020-12-05,"AS",0,NA,2140,2140,0,0,0
"341",2020-12-05,"AZ",358900,12139,2003152,4045775,6799,33404,6925
"342",2020-12-05,"CA",1311625,NA,23590350,24901975,25068,226497,19791
"343",2020-12-05,"CO",257347,11014,1574219,3442114,5125,45040,3357
"344",2020-12-05,"CT",127715,8131,3294383,3422098,0,0,5146
"345",2020-12-05,"DC",22872,NA,704515,727387,392,9145,695
"346",2020-12-05,"DE",39096,1441,398514,769818,698,9014,782
"347",2020-12-05,"FL",1032552,99027,6464040,12986939,10198,129842,19327
"348",2020-12-05,"GA",442017,NA,4024183,4466200,3717,31180,9793
"349",2020-12-05,"GU",6977,132,79571,86548,18,18,113
"350",2020-12-05,"HI",18738,315,295153,695177,133,8421,261
"351",2020-12-05,"IA",211891,NA,882611,1094502,1655,4941,2667
"352",2020-12-05,"ID",108366,17123,396217,487460,1911,3268,1032
"353",2020-12-05,"IL",779975,6259,10241701,11021676,9887,102678,14017
"354",2020-12-05,"IN",375019,NA,1917159,4525760,7690,61268,6207
"355",2020-12-05,"KS",168295,NA,676891,845186,0,0,1786
"356",2020-12-05,"KY",198065,34603,2568543,2732005,3872,32324,2062
"357",2020-12-05,"LA",247177,14698,3319357,3566534,0,0,6548
"358",2020-12-05,"MA",252017,9205,3230907,8880813,5619,106116,10953
"359",2020-12-05,"MD",212384,NA,2210796,4637128,3193,53900,4820
"360",2020-12-05,"ME",13127,1487,900832,913959,283,283,227
"361",2020-12-05,"MI",426576,31540,6538482,6965058,6308,64898,10321
"362",2020-12-05,"MN",345281,8228,2281378,4370635,6308,48295,3920
"363",2020-12-05,"MO",318422,NA,1537568,3173989,5001,26435,4181
"364",2020-12-05,"MP",106,NA,17010,17116,0,0,2
"365",2020-12-05,"MS",163458,36707,982395,1145853,1942,1942,3949
"366",2020-12-05,"MT",67069,NA,615514,682583,633,7321,734
"367",2020-12-05,"NC",388552,24854,5158062,5546614,6018,61327,5516
"368",2020-12-05,"ND",84219,1756,274014,1125121,615,8318,1013
"369",2020-12-05,"NE",136325,NA,625554,1435777,1615,14074,1186
"370",2020-12-05,"NH",24138,NA,413415,854085,448,8885,559
"371",2020-12-05,"NJ",361986,NA,5918797,6280783,5324,98284,17306
"372",2020-12-05,"NM",106856,NA,1528061,1634917,1921,14534,1738
"373",2020-12-05,"NV",165628,NA,849268,1718547,3194,21653,2301
"374",2020-12-05,"NY",696125,NA,19692737,20388862,10761,215401,27089
"375",2020-12-05,"OH",467432,24973,5949233,6416665,10469,67223,6946
"376",2020-12-05,"OK",213245,NA,2008829,2222074,4370,30430,1874
"377",2020-12-05,"OR",83243,3531,2005617,2119510,1806,32456,1027
"378",2020-12-05,"PA",411484,31291,2911640,3323124,12884,31203,11262
"379",2020-12-05,"PR",55532,1899,305972,361504,935,935,1185
"380",2020-12-05,"RI",63944,NA,486060,1629991,1807,21143,1429
"381",2020-12-05,"SC",229235,15440,2274686,2503921,3222,29022,4517
"382",2020-12-05,"SD",85304,6392,253065,338369,906,1857,1091
"383",2020-12-05,"TN",397522,33545,4277534,4675056,4914,23712,4905
"384",2020-12-05,"TX",1240750,NA,10002003,11242753,11938,131717,22502
"385",2020-12-05,"UT",212844,NA,1173871,1907788,3674,20132,939
"386",2020-12-05,"VA",251173,30663,3215838,3436348,3793,49724,4197
"387",2020-12-05,"VI",1633,NA,27660,29293,20,178,23
"388",2020-12-05,"VT",4894,129,226857,578009,131,5139,79
"389",2020-12-05,"WA",174290,NA,2945856,3120146,1853,225779,2925
"390",2020-12-05,"WI",437918,28532,2188949,4595523,5711,38957,3934
"391",2020-12-05,"WV",53572,8319,1161747,1215319,1400,26714,829
